Pestaña_Sheet,Nombre_Columna,Tipo_Dato,Descripcion
Config,Q_Activo,Texto,"Trimestre seleccionado en la cabecera. Solo da contexto a Economía y Capacidad (no filtra Proyectos)"
Config,Tarifa_Empresa,Decimal,"Tarifa de la empresa por hora (€/h) por Q. Dato global introducido a mano cada Q"
Config,Margen_Funcional,Decimal,"Margen objetivo del equipo funcional (ej. 0.25 = 25%)"
Config,Margen_Tecnico,Decimal,"Margen objetivo del equipo técnico (ej. 0.20 = 20%)"
Proyectos,ID_Iniciativa,Texto,"Identificador único de la iniciativa/proyecto"
Proyectos,Nombre_Iniciativa,Texto,"Nombre descriptivo del proyecto"
Proyectos,Cliente,Texto,"Cliente para el que se realiza la iniciativa"
Proyectos,Q_Alta,Texto,"Trimestre en el que se dio de alta la iniciativa (ej. 2026-Q1). El proyecto persiste aunque cambie el Q activo"
Proyectos,Estado,Lista,"Estado: Pendiente / Aprobada / En curso (activos) · Terminada / Cancelada (histórico)"
Proyectos,Horas_Estimadas,Decimal,"Esfuerzo estimado en horas para la iniciativa"
Proyectos,Horas_Elevadas,Decimal,"Horas elevadas al cliente como oferta"
Proyectos,ID_Pedido,Texto,"ID de pedido asociado a la oferta elevada"
Proyectos,Considerada_Capacidad,Booleano,"TRUE si la iniciativa se incluye en el cálculo de capacidad del equipo. Decisión MANUAL"
Proyectos,Comentarios,Texto,"Notas / observaciones. La ejecución por Q está en la pestaña Ejecucion; el responsable, en Asignacion"
Ejecucion,ID_Iniciativa,Texto,"Iniciativa a la que pertenece la ejecución (FK a Proyectos)"
Ejecucion,Q,Texto,"Trimestre en el que se ejecutan horas (un proyecto se eleva un Q y se ejecuta en varios Qs)"
Ejecucion,Horas_Ejecutadas,Decimal,"Horas realmente ejecutadas de esa iniciativa en ese Q"
Ejecucion,Total_Ejecutado_Iniciativa,Decimal,"CALCULADO: suma de Horas_Ejecutadas de la iniciativa en todos los Q"
Bolsas,ID_Movimiento,Texto,"Identificador del movimiento de bolsa"
Bolsas,Tipo_Bolsa,Lista,"Tipo de bolsa: Oficial / Adelantos"
Bolsas,Proyecto_Bolsa,Texto,"ID de la iniciativa PROPIETARIA de la bolsa (la que la alimenta con Aportes). Hay una bolsa por proyecto"
Bolsas,Movimiento,Lista,"Aporte = el Proyecto_Bolsa suma horas (+) · Consumo = otro proyecto saca horas (−)"
Bolsas,Proyecto_Consumidor,Texto,"En un Consumo, ID de la iniciativa que SACA horas de la bolsa (vacío en Aportes)"
